RC Zone Přerov;;;;;
;;;;;
4/7/25;;;;;
Pozice;Popis;Cena;Poznámky;;
1;Venkovní objekty;253 615 660 Kč;;;
;;;;;
1.1;HTÚ (SO 1000);53 680 806 Kč;;;
;Demolice a přípava staveniště;8 315 200 Kč;;;
;Příprava podloží / pláně;8 859 970 Kč;;;
;Sanace podloží pod objekty, komunikacemi a zpev. plochami;15 398 328 Kč;;;
;Odvodnění pláně;675 366 Kč;;;
;Zhutněný násyp pod objektem (zeminová deska);16 158 204 Kč;;;
;Dočasně zpevněné manipulační plochy;1 002 260 Kč;;;
;Tepelná izolace;316 596 Kč;;;
;Chráničky;59 730 Kč;;;
;Ostatní;2 895 152 Kč;;;
;;;;;
1.2;Komunikace;64 178 987 Kč;;;
;Komunikace a zpevněné plochy - část 1 (SO 1100.1);5 403 622 Kč;;;
;Komunikace a zpevněné plochy - část 2 (SO 1100.2);2 373 198 Kč;;;
;Komunikace a zpevněné plochy - část 3 (SO 1100.3);6 378 837 Kč;;;
;Komunikace a zpevněné plochy - část 4 (SO 1100.4);8 613 105 Kč;;;
;Komunikace a zpevněné plochy - část 5 (SO 1100.5);12 094 721 Kč;;;
;Komunikace a zpevněné plochy - část 6 (SO 1100.6);17 308 168 Kč;;;
;Komunikace a zpevněné plochy - část 7 (SO 1100.7);10 953 775 Kč;;;
;Komunikace a zpevněné plochy - část 8 (SO 1100.8);1 053 561 Kč;;;
;;;;;
1.3;Splašková kanalizace ;10 385 101 Kč;;;
;Splašková kanalizace - přípojka (SO 1200.1);80 737 Kč;;;
;Splašková kanalizace - ČS + výtlak (SO 1200.2);4 571 565 Kč;;;
;Splašková kanalizace – areál společná (SO 1200.3);2 236 369 Kč;;;
;Splašková kanalizace - areál PR 01 (SO 1200.10);1 458 678 Kč;;;
;Splašková kanalizace - areál PR 02 (SO 1200.20);552 586 Kč;;;
;Splašková kanalizace - areál PR 03 (SO 1200.30);1 485 166 Kč;;;
;;;;;
1.4;Dešťová kanalizace;41 767 745 Kč;;;
;Dešťová kanalizace – areál PR01 - západ (SO 1250.10);38 922 Kč;;;
;Dešťová kanalizace - areál PR 01 - jih (SO 1250.11);594 718 Kč;;;
;Dešťová kanalizace - AN PR 01 - jih (SO 1250.12);1 856 445 Kč;;;
;Dešťová kanalizace - vsak PR 01 - JIH (SO 1250.13);6 155 405 Kč;;;
;Dešťová kanalizace - areál PR 02 (SO 1250.20);2 356 279 Kč;;;
;Dešťová kanalizace - AN PR 02 (SO 1250.21);2 308 368 Kč;;;
;Dešťová kanalizace - RN PR 02 (SO 1250.22);5 042 246 Kč;;;
;Dešťová kanalizace - ČS + výtlak PR 02 (SO 1250.23);2 191 531 Kč;;;
;Dešťová kanalizace - vsak PR 02 (SO 1250.24);7 606 231 Kč;;;
;Dešťová kanalizace - areál PR 03 - východ (SO 1250.30);87 585 Kč;;;
;Dešťová kanalizace - vsak PR 03 - východ (SO 1250.31);4 345 238 Kč;;;
;Dešťová kanalizace - areál PR 03 - západ (SO 1250.32);971 240 Kč;;;
;Dešťová kanalizace - AN PR 03 - západ (SO 1250.33);1 287 150 Kč;;;
;Dešťová kanalizace - vsak u PR 03 - západ (SO 1250.34);6 926 387 Kč;;;
;;;;;
1.5;Zaolejovaná kanalizace;27 412 256 Kč;;;
;Zaolejovaná kanalizace - areál PR 01 (SO 1300.10);3 856 620 Kč;;;
;Zaolejovaná kanalizace - ORL PR 01 (SO 1300.11);526 394 Kč;;;
;Zaolejovaná kanalizace - RN PR 01 (SO 1300.12);3 835 435 Kč;;;
;Zaolejovaná kanalizace - areál PR 02 - jih (SO 1300.20);2 416 081 Kč;;;
;Zaolejovaná kanalizace - ORL PR 02 - jih (SO 1300.21);503 027 Kč;;;
;Zaolejovaná kanalizace - areál PR 02 - sever (SO 1300.22);5 136 172 Kč;;;
;Zaolejovaná kanalizace - ORL PR 02 - sever (SO 1300.23);506 062 Kč;;;
;Zaolejovaná kanalizace - RN PR 02 - sever (SO 1300.24);3 513 580 Kč;;;
;Zaolejovaná kanalizace - areál PR 03 (SO 1300.30);4 777 652 Kč;;;
;Zaolejovaná kanalizace - ORL PR 03 (SO 1300.31);491 979 Kč;;;
;Zaolejovaná kanalizace - ČS + výtlak PR 03 (SO 1300.32);1 849 253 Kč;;;
;;;;;
1.6;Vodovod;27 664 222 Kč;;;
;Vodovod - přeložka - východ (SO 1350.1);23 116 742 Kč;;;
;Vodovod - přeložka - západ (SO 1350.2);730 771 Kč;;;
;Vodovod - přípojka (SO 1350.3);652 043 Kč;;;
;Vodovod – areálový rozvod - společný (SO 1350.4);1 208 476 Kč;;;
;Vodovod – napojení SHZ (SO 1350.5);101 901 Kč;;;
;Vodovod –areálový rozvod - PR 01 (SO 1350.10);1 027 985 Kč;;;
;Vodovod – napojení PR 01 (SO 1350.11);280 367 Kč;;;
